,track_id,track_name,preview_url,artist,label,artist_id,danceability,energy,loudness,speechiness,acousticness,instrumentalness,valence,tempo,loudness_scaled,tempo_scaled
1068,0Gizt0VIOGSRMje4pkfocJ,The Lord Is My Shepherd (with Hezekiah Walker And The Love Fellowship Choir),https://p.scdn.co/mp3-preview/5ac54c187c356ad946a5a7a6b5acbf1190615bca?cid=7dcb3f1dc3c6403ca4a0f2c0fe2fee5e,Whitney Houston,0,6XpaIBNiVzIetEPCWDvAFP,0.218,0.475,-9.281,0.048,0.83,5.08e-06,0.253,198.219,0.6804431719158472,0.9574964495840942
1069,0sKAxwRubZuqKadRspVY96,Joy to the World (with Georgia Mass Choir),https://p.scdn.co/mp3-preview/8afd0719021709a4ccba4f95bd7469ef9313d57b?cid=7dcb3f1dc3c6403ca4a0f2c0fe2fee5e,Whitney Houston,0,6XpaIBNiVzIetEPCWDvAFP,0.328,0.708,-8.06,0.183,0.629,0.0,0.428,173.001,0.7311091746545502,0.8356809552792511
1070,4eHbdreAnSOrDDsFfc4Fpm,I Will Always Love You,https://p.scdn.co/mp3-preview/db431eff82899d9af76c9156d66d29aa951c21d8?cid=7dcb3f1dc3c6403ca4a0f2c0fe2fee5e,Whitney Houston,0,6XpaIBNiVzIetEPCWDvAFP,0.332,0.214,-12.518,0.0349,0.845,5.62e-06,0.11,67.531,0.5461222457363377,0.32620834903245133
1071,31er9IGsfFbwqy1pH4aiTP,I Have Nothing,https://p.scdn.co/mp3-preview/5c8f741d2fb049a966c087b9942781f715ebdbc9?cid=7dcb3f1dc3c6403ca4a0f2c0fe2fee5e,Whitney Houston,0,6XpaIBNiVzIetEPCWDvAFP,0.541,0.401,-10.499,0.0365,0.576,0.0,0.24,152.943,0.6299016556703599,0.7387908297829175
1072,2eHj0klWkwRQuIrNlPpCPa,I'm Every Woman,https://p.scdn.co/mp3-preview/0af44b5e951a60994698fd23a857e7ee683ae372?cid=7dcb3f1dc3c6403ca4a0f2c0fe2fee5e,Whitney Houston,1,6XpaIBNiVzIetEPCWDvAFP,0.665,0.847,-8.314,0.0535,0.0178,0.00288,0.4,119.555,0.7205693182289723,0.5775101681979345
1073,6M1M6cRtVkm5d0qTzkSEuK,Run to You,https://p.scdn.co/mp3-preview/53997f406dd2ea109997db23eaa9b9d649b11454?cid=7dcb3f1dc3c6403ca4a0f2c0fe2fee5e,Whitney Houston,0,6XpaIBNiVzIetEPCWDvAFP,0.368,0.364,-10.21,0.0318,0.628,0.0,0.131,76.923,0.641893854516785,0.37157638466220333
1074,7lARcL3Gu0wKcPcQ3t9xiF,Queen of the Night - Radio Edit,https://p.scdn.co/mp3-preview/5d74fa55d92c1aee09b3437a99b24dd6fe116a1d?cid=7dcb3f1dc3c6403ca4a0f2c0fe2fee5e,Whitney Houston,1,6XpaIBNiVzIetEPCWDvAFP,0.741,0.899,-7.13,0.0445,0.000656,0.0137,0.757,104.895,0.7696999875513508,0.5066950699939136
1075,77ld03vIqCjakQkIQBPTVA,Jesus Loves Me,https://p.scdn.co/mp3-preview/e7bf2ce1bf418f3cc48e93c75e199aee9050559b?cid=7dcb3f1dc3c6403ca4a0f2c0fe2fee5e,Whitney Houston,0,6XpaIBNiVzIetEPCWDvAFP,0.534,0.396,-13.222,0.0313,0.549,1.32e-05,0.283,134.335,0.516909415328437,0.6489049261416883
1076,0XyJW5i0GSBrKAzs0c2jr1,Even If My Heart Would Break,https://p.scdn.co/mp3-preview/7d8070ac30ce740821c12e85326fff905ba121d5?cid=7dcb3f1dc3c6403ca4a0f2c0fe2fee5e,Whitney Houston,1,6XpaIBNiVzIetEPCWDvAFP,0.515,0.452,-12.089,0.0565,0.0402,0.0,0.321,157.748,0.5639238142661522,0.7620013718613841
1077,2uu2bgubcIjivmsVbYgivF,Someday (I'm Coming Back),https://p.scdn.co/mp3-preview/e56aa61cb920c7715cac74314ed343740da899da?cid=7dcb3f1dc3c6403ca4a0f2c0fe2fee5e,Whitney Houston,1,6XpaIBNiVzIetEPCWDvAFP,0.76,0.554,-14.022,0.0499,0.3,0.00063,0.852,128.944,0.4837130171376407,0.6228637123341931
