,track_id,track_name,preview_url,artist,label,artist_id,danceability,energy,loudness,speechiness,acousticness,instrumentalness,valence,loudness_scaled
2676,5GPK5xpGAoLOTyZihZr0V9,Jesus Loves Me - A Capella Version,https://p.scdn.co/mp3-preview/7e4e129d5d35cc975daec35193538943d307b4ba?cid=7dcb3f1dc3c6403ca4a0f2c0fe2fee5e,Whitney Houston,2,6XpaIBNiVzIetEPCWDvAFP,0.465,0.158,-17.426,0.255,0.943,0.0,0.142,0.34246234283580246
2677,6XQz4HwNIQZ652JFa7putY,I Will Always Love You - Film Version,https://p.scdn.co/mp3-preview/17e66783bf38a90f6204f164d8a4634dfc4a8be5?cid=7dcb3f1dc3c6403ca4a0f2c0fe2fee5e,Whitney Houston,2,6XpaIBNiVzIetEPCWDvAFP,0.343,0.281,-9.534,0.0368,0.605,0.000296,0.121,0.669944810988008
2678,2cj65tfiu5bus9TaAgAWOL,I Have Nothing - Live from Brunei,https://p.scdn.co/mp3-preview/f66822d83d999cf273b8f8a405b190b1b2d4a728?cid=7dcb3f1dc3c6403ca4a0f2c0fe2fee5e,Whitney Houston,2,6XpaIBNiVzIetEPCWDvAFP,0.28,0.504,-11.25,0.0725,0.674,1.23e-06,0.288,0.5987385368687499
2679,3geQ35IyykbmTAN33rUWSh,Run to You - Live from The Bodyguard Tour,https://p.scdn.co/mp3-preview/313e79f737565af5b55455fee94cefcefa199e96?cid=7dcb3f1dc3c6403ca4a0f2c0fe2fee5e,Whitney Houston,2,6XpaIBNiVzIetEPCWDvAFP,0.345,0.299,-11.327,0.0401,0.832,0.0,0.226,0.5955433835428858
2680,6vZWn2RlT98NKOph5qpxxD,Jesus Loves Me / He's Got The Whole World In His Hands - Live from The Bodyguard Tour,https://p.scdn.co/mp3-preview/922595ed0b199f5d8c661bcd3b7a6d6449ddc632?cid=7dcb3f1dc3c6403ca4a0f2c0fe2fee5e,Whitney Houston,2,6XpaIBNiVzIetEPCWDvAFP,0.495,0.275,-14.11,0.0767,0.509,0.0,0.366,0.4800614133366531
2681,0TMqE4JVG6r2iFELCHGgYE,Queen of the Night - Live from The Bodyguard Tour,https://p.scdn.co/mp3-preview/88d1e91ecee64d8db1a7eb60128b837e61b69b8b?cid=7dcb3f1dc3c6403ca4a0f2c0fe2fee5e,Whitney Houston,0,6XpaIBNiVzIetEPCWDvAFP,0.55,0.908,-7.653,0.0774,0.0642,1.96e-05,0.683,0.7479978422341178
2682,55AQclTUurjDuLhl8Raj6S,I Will Always Love You - Live from The Bodyguard Tour,https://p.scdn.co/mp3-preview/6582cdddac0925e08c944e1b0d77f0d1e2a0874a?cid=7dcb3f1dc3c6403ca4a0f2c0fe2fee5e,Whitney Houston,2,6XpaIBNiVzIetEPCWDvAFP,0.298,0.286,-13.615,0.053,0.667,3.63e-05,0.128,0.5006016847172083
2683,1b9pKNP8Z40yhdxdaedb1x,I'm Every Woman - Live from The Bodyguard Tour,https://p.scdn.co/mp3-preview/9b9754d364933389dbf1a4e1bf218ea4db949c2f?cid=7dcb3f1dc3c6403ca4a0f2c0fe2fee5e,Whitney Houston,0,6XpaIBNiVzIetEPCWDvAFP,0.581,0.88,-7.794,0.0953,0.302,0.0,0.505,0.74214697705299
2684,5jSTW2AuRhDst5I7J86KUH,Home - Live from The Merv Griffin Show,https://p.scdn.co/mp3-preview/88fc0a0292d60b94110e83e73cb108056a067e43?cid=7dcb3f1dc3c6403ca4a0f2c0fe2fee5e,Whitney Houston,2,6XpaIBNiVzIetEPCWDvAFP,0.515,0.347,-9.425,0.0736,0.963,0.142,0.418,0.674467820241504
2685,0kn8HZcdvWXIbAu4ZbqWTa,You Give Good Love - Live from The Tonight Show Starring Johnny Carson,https://p.scdn.co/mp3-preview/4b3c73b99c95b0cafbca19513cb38b62a4d1fcab?cid=7dcb3f1dc3c6403ca4a0f2c0fe2fee5e,Whitney Houston,2,6XpaIBNiVzIetEPCWDvAFP,0.625,0.463,-5.382,0.0519,0.934,7.56e-06,0.414,0.8422341175982409
2686,0B71GPn23vB1BapkFfYlEp,How Will I Know - Live from The Brit Awards,https://p.scdn.co/mp3-preview/47c2d01fbcd164147bbb29b0bb5c61d9a4504acb?cid=7dcb3f1dc3c6403ca4a0f2c0fe2fee5e,Whitney Houston,0,6XpaIBNiVzIetEPCWDvAFP,0.718,0.89,-4.552,0.0693,0.282,0.0,0.852,0.876675380721192
2687,1pCsrLzTZ0HrjUJB8df2kc,One Moment in Time - Live from The 31st Annual Grammy® Awards,,Whitney Houston,1,6XpaIBNiVzIetEPCWDvAFP,0.203,0.651,-6.449,0.0601,0.41,1.44e-05,0.35,0.7979584215112663
2688,1zHSvq6WdZHdG85ugbGsVj,Greatest Love of All - Live from That's What Friends Are For: Arista Records 15th Anniversary Concert,https://p.scdn.co/mp3-preview/299a00faa26b728d5f4841319768567fa272db9e?cid=7dcb3f1dc3c6403ca4a0f2c0fe2fee5e,Whitney Houston,2,6XpaIBNiVzIetEPCWDvAFP,0.321,0.604,-6.718,0.0554,0.643,0.0,0.267,0.7867961326196109
2689,3KCm9TwZDOLdRu4bM1Alob,I Wanna Dance with Somebody - Live from That's What Friends Are For: Arista Records 15th Anniversary Concert,https://p.scdn.co/mp3-preview/5cab4f8dae31b720ecf89e5dc4d51801d4ac58f9?cid=7dcb3f1dc3c6403ca4a0f2c0fe2fee5e,Whitney Houston,0,6XpaIBNiVzIetEPCWDvAFP,0.569,0.954,-3.599,0.124,0.0689,0.0,0.527,0.9162205900659781
2690,5qByPJHfbssZpbUzhgpDCG,The Star Spangled Banner (feat. The Florida Orchestra) - Live from Super Bowl XXV,https://p.scdn.co/mp3-preview/ccc90cbcd9ee4bcea276202f26a3020b7812c862?cid=7dcb3f1dc3c6403ca4a0f2c0fe2fee5e,Whitney Houston,2,6XpaIBNiVzIetEPCWDvAFP,0.179,0.641,-6.93,0.0439,0.636,0.0303,0.495,0.77799908709905
2691,5gUXJ028FkqhUAKk7bMWY4,All the Man That I Need - Live from Welcome Home Heroes with Whitney Houston,https://p.scdn.co/mp3-preview/8571b84ebb3369b2eb7e34dd86a77ecca2ce686e?cid=7dcb3f1dc3c6403ca4a0f2c0fe2fee5e,Whitney Houston,2,6XpaIBNiVzIetEPCWDvAFP,0.39,0.779,-6.831,0.0469,0.542,0.0,0.459,0.782107141375161
2692,5yFt7dkjC3AGuKOBaosed4,I'm Your Baby Tonight - Live from Welcome Home Heroes with Whitney Houston,https://p.scdn.co/mp3-preview/08b1110eae0f870b0b65828914d52f3a4f5dbfe6?cid=7dcb3f1dc3c6403ca4a0f2c0fe2fee5e,Whitney Houston,0,6XpaIBNiVzIetEPCWDvAFP,0.341,0.88,-9.15,0.147,0.0751,2.25e-06,0.669,0.6858790821195901
2693,2kS0pmnzDAeZDME3svB8fN,A Song for You - Live from Welcome Home Heroes with Whitney Houston,https://p.scdn.co/mp3-preview/cf9bb8a55323f8c9258c05a12e9bacfa0c102332?cid=7dcb3f1dc3c6403ca4a0f2c0fe2fee5e,Whitney Houston,2,6XpaIBNiVzIetEPCWDvAFP,0.3,0.378,-10.383,0.0459,0.912,0.000522,0.157,0.6347151334080254
2694,0pXeX74NdIKgUvylLqlGBN,"Medley: I Loves You, Porgy / And I Am Telling You I'm Not Going / I Have Nothing - Live from The 21st Annual American Music Awards",https://p.scdn.co/mp3-preview/aad15ca5b34c98f4105ec8ca2b7581ef180e9503?cid=7dcb3f1dc3c6403ca4a0f2c0fe2fee5e,Whitney Houston,1,6XpaIBNiVzIetEPCWDvAFP,0.221,0.656,-7.328,0.0553,0.448,0.0,0.357,0.7614838789991287
2695,0onkIMPgaJDynd4x2tSpjS,I'm Every Woman - Live from The Concert for a New South Africa,https://p.scdn.co/mp3-preview/333a4ae6488937b12ede46e14b777cf111827514?cid=7dcb3f1dc3c6403ca4a0f2c0fe2fee5e,Whitney Houston,1,6XpaIBNiVzIetEPCWDvAFP,0.422,0.932,-5.643,0.131,0.00379,0.0,0.446,0.8314037926884935
2696,2be59uHmn17ejuv4bXF5oo,I Will Always Love You - Live from The Concert for a New South Africa,https://p.scdn.co/mp3-preview/3e20113fd1e870747a4f06777bc86e152aeccaaa?cid=7dcb3f1dc3c6403ca4a0f2c0fe2fee5e,Whitney Houston,2,6XpaIBNiVzIetEPCWDvAFP,0.238,0.585,-7.764,0.0509,0.525,8.2e-05,0.198,0.7433918419851449
2697,1Tmn4RzLBoZRryh3NJPlLd,My Love Is Your Love - Live from Late Show with David Letterman,https://p.scdn.co/mp3-preview/3bf4939a20059f7928599cd8f37273be738193e8?cid=7dcb3f1dc3c6403ca4a0f2c0fe2fee5e,Whitney Houston,0,6XpaIBNiVzIetEPCWDvAFP,0.591,0.736,-6.916,0.119,0.446,0.0,0.561,0.7785800240673888
2698,0xGEceyQmD3gPP4vLNZly9,I Believe in You and Me - Live from The 16th Annual World Music Awards,https://p.scdn.co/mp3-preview/7ee820461ee84beaf06d96ea4a8c68bc68cd98ef?cid=7dcb3f1dc3c6403ca4a0f2c0fe2fee5e,Whitney Houston,2,6XpaIBNiVzIetEPCWDvAFP,0.293,0.439,-9.316,0.0333,0.808,0.00322,0.121,0.678990829495
2699,71y1T1v35vSZFg6xCEegAx,I Didn't Know My Own Strength - Live from The Oprah Winfrey Show Season Premiere Part II - Whitney Houston's Show Stopping Surprise,,Whitney Houston,1,6XpaIBNiVzIetEPCWDvAFP,0.35,0.676,-6.497,0.0776,0.464,0.0,0.29,0.7959666376198185
2700,78Liq9m8u6xjuamJIeznTd,Million Dollar Bill,https://p.scdn.co/mp3-preview/60faef80c8e131e5a8f878df3140061ba08e279c?cid=7dcb3f1dc3c6403ca4a0f2c0fe2fee5e,Whitney Houston,0,6XpaIBNiVzIetEPCWDvAFP,0.714,0.747,-4.134,0.111,0.054,0.0,0.765,0.8940204987758831
2701,2WApJIbDbXSbsseuPkAiWv,Nothin' But Love,https://p.scdn.co/mp3-preview/d4df50693ff68ed9dc37f21ce40395f9e14658d2?cid=7dcb3f1dc3c6403ca4a0f2c0fe2fee5e,Whitney Houston,0,6XpaIBNiVzIetEPCWDvAFP,0.681,0.883,-4.014,0.214,0.123,0.0,0.566,0.8989999585045025
