,track_id,track_name,album,artist,artist_id,release_date,track_id,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
39,262zLFH9xVpSS1MJg8BYE8,I Will Always Love You - Live from The Concert for a New South Africa,"I Wanna Dance With Somebody (The Movie: Whitney New, Classic and Reimagined)",Whitney Houston,6XpaIBNiVzIetEPCWDvAFP,2022-12-16,262zLFH9xVpSS1MJg8BYE8,0.284,0.426,-11.76,0.0476,0.296,2.45e-06,0.936,0.106,130.212
40,7tZRkKfpYuCbJZcyFFOVMt,"Medley: I Loves You, Porgy / And I Am Telling You I'm Not Going / I Have Nothing - Live from The 21st Annual American Music Awards","I Wanna Dance With Somebody (The Movie: Whitney New, Classic and Reimagined)",Whitney Houston,6XpaIBNiVzIetEPCWDvAFP,2022-12-16,7tZRkKfpYuCbJZcyFFOVMt,0.22,0.576,-9.842,0.0525,0.465,0,0.966,0.363,77.723
41,09O6v86cph4zEVGCYgfFGY,Run to You,"I Wanna Dance With Somebody (The Movie: Whitney New, Classic and Reimagined)",Whitney Houston,6XpaIBNiVzIetEPCWDvAFP,2022-12-16,09O6v86cph4zEVGCYgfFGY,0.327,0.35,-10.791,0.0327,0.629,0,0.151,0.144,77.128
42,7pZZZCasSykaPSjgXT3HhK,Impossible Things,"I Wanna Dance With Somebody (The Movie: Whitney New, Classic and Reimagined)",Whitney Houston,6XpaIBNiVzIetEPCWDvAFP,2022-12-16,7pZZZCasSykaPSjgXT3HhK,0.627,0.467,-10.274,0.164,0.4,0,0.132,0.1,83.577
43,6rDQtMkwq8UEIWnhNY2JYx,"Why Does It Hurt So Bad - from ""Waiting to Exhale"" - Original Soundtrack","I Wanna Dance With Somebody (The Movie: Whitney New, Classic and Reimagined)",Whitney Houston,6XpaIBNiVzIetEPCWDvAFP,2022-12-16,6rDQtMkwq8UEIWnhNY2JYx,0.625,0.39,-9.713,0.0239,0.168,0,0.161,0.252,76.8
44,0Rkq46Qo069QwWDdrVur8f,It's Not Right But It's Okay,"I Wanna Dance With Somebody (The Movie: Whitney New, Classic and Reimagined)",Whitney Houston,6XpaIBNiVzIetEPCWDvAFP,2022-12-16,0Rkq46Qo069QwWDdrVur8f,0.807,0.743,-9.209,0.078,0.149,0.00103,0.0774,0.557,127.962
45,6WJHhtZ4CsY2hCyGEi6Rwx,My Love Is Your Love,"I Wanna Dance With Somebody (The Movie: Whitney New, Classic and Reimagined)",Whitney Houston,6XpaIBNiVzIetEPCWDvAFP,2022-12-16,6WJHhtZ4CsY2hCyGEi6Rwx,0.769,0.451,-10.033,0.167,0.0486,2.5e-06,0.0568,0.454,82.508
46,1wGWjGTTFRILeHhlNIURJz,I Didn't Know My Own Strength (Live from The Oprah Winfrey Show) - Live from The Oprah Winfrey Show Season Premiere Part II - Whitney Houston's Show Stopping Surprise,"I Wanna Dance With Somebody (The Movie: Whitney New, Classic and Reimagined)",Whitney Houston,6XpaIBNiVzIetEPCWDvAFP,2022-12-16,1wGWjGTTFRILeHhlNIURJz,0.347,0.656,-7.049,0.0773,0.471,0,0.631,0.299,107.901
47,1Fj6dv0wu8XqfGKOp4oqiw,Clive's Message,"I Wanna Dance With Somebody (The Movie: Whitney New, Classic and Reimagined)",Whitney Houston,6XpaIBNiVzIetEPCWDvAFP,2022-12-16,1Fj6dv0wu8XqfGKOp4oqiw,0.686,0.315,-14.762,0.924,0.906,1.64e-05,0.11,0.837,83.579
48,6EVN7COD61RCfpeY6pUeUz,Don't Cry For Me - A Cappella,"I Wanna Dance With Somebody (The Movie: Whitney New, Classic and Reimagined)",Whitney Houston,6XpaIBNiVzIetEPCWDvAFP,2022-12-16,6EVN7COD61RCfpeY6pUeUz,0.343,0.0816,-10.085,0.0735,0.832,0,0.0575,0.0889,179.892
49,1936BmRmMGR7H05fpGuO94,I Will Always Love You - Alternate Mix,I Wish You Love: More From The Bodyguard,Whitney Houston,6XpaIBNiVzIetEPCWDvAFP,2017-11-17,1936BmRmMGR7H05fpGuO94,0.22,0.226,-12.164,0.0392,0.775,3.29e-05,0.106,0.0935,67.673
50,76puoNshqjAAocKl5KbmpQ,I Have Nothing - Film Version,I Wish You Love: More From The Bodyguard,Whitney Houston,6XpaIBNiVzIetEPCWDvAFP,2017-11-17,76puoNshqjAAocKl5KbmpQ,0.486,0.448,-9.133,0.0342,0.757,0,0.0852,0.17,152.864
51,1kRDN664irlEou8Pc7iP2G,I'm Every Woman - Clivilles & Cole House Mix I Edit,I Wish You Love: More From The Bodyguard,Whitney Houston,6XpaIBNiVzIetEPCWDvAFP,2017-11-17,1kRDN664irlEou8Pc7iP2G,0.698,0.818,-9.621,0.0607,0.0283,0.188,0.103,0.346,121.563
52,0o7yqilFaW0ND4oeJVUl0D,Run to You - Film Version,I Wish You Love: More From The Bodyguard,Whitney Houston,6XpaIBNiVzIetEPCWDvAFP,2017-11-17,0o7yqilFaW0ND4oeJVUl0D,0.379,0.399,-10.247,0.0333,0.737,0,0.135,0.161,76.53
53,1RK34OdEvCUujacfNbO7PA,Queen of the Night - Film Version,I Wish You Love: More From The Bodyguard,Whitney Houston,6XpaIBNiVzIetEPCWDvAFP,2017-11-17,1RK34OdEvCUujacfNbO7PA,0.688,0.885,-7.828,0.0392,0.000135,0.103,0.0892,0.815,105.047
54,0m92LlAO2ITV1oMoR5jnTY,Jesus Loves Me - Film Version,I Wish You Love: More From The Bodyguard,Whitney Houston,6XpaIBNiVzIetEPCWDvAFP,2017-11-17,0m92LlAO2ITV1oMoR5jnTY,0.371,0.0144,-24.647,0.0635,0.93,0,0.114,0.0637,79.038
55,5GPK5xpGAoLOTyZihZr0V9,Jesus Loves Me - A Capella Version,I Wish You Love: More From The Bodyguard,Whitney Houston,6XpaIBNiVzIetEPCWDvAFP,2017-11-17,5GPK5xpGAoLOTyZihZr0V9,0.465,0.158,-17.426,0.255,0.943,0,0.236,0.142,107.888
56,6XQz4HwNIQZ652JFa7putY,I Will Always Love You - Film Version,I Wish You Love: More From The Bodyguard,Whitney Houston,6XpaIBNiVzIetEPCWDvAFP,2017-11-17,6XQz4HwNIQZ652JFa7putY,0.343,0.281,-9.534,0.0368,0.605,0.000296,0.0951,0.121,133.454
57,2cj65tfiu5bus9TaAgAWOL,I Have Nothing - Live from Brunei,I Wish You Love: More From The Bodyguard,Whitney Houston,6XpaIBNiVzIetEPCWDvAFP,2017-11-17,2cj65tfiu5bus9TaAgAWOL,0.28,0.504,-11.25,0.0725,0.674,1.23e-06,0.982,0.288,150.044
58,3geQ35IyykbmTAN33rUWSh,Run to You - Live from The Bodyguard Tour,I Wish You Love: More From The Bodyguard,Whitney Houston,6XpaIBNiVzIetEPCWDvAFP,2017-11-17,3geQ35IyykbmTAN33rUWSh,0.345,0.299,-11.327,0.0401,0.832,0,0.805,0.226,70.675
59,6vZWn2RlT98NKOph5qpxxD,Jesus Loves Me / He's Got The Whole World In His Hands - Live from The Bodyguard Tour,I Wish You Love: More From The Bodyguard,Whitney Houston,6XpaIBNiVzIetEPCWDvAFP,2017-11-17,6vZWn2RlT98NKOph5qpxxD,0.495,0.275,-14.11,0.0767,0.509,0,0.947,0.366,139.734
60,0TMqE4JVG6r2iFELCHGgYE,Queen of the Night - Live from The Bodyguard Tour,I Wish You Love: More From The Bodyguard,Whitney Houston,6XpaIBNiVzIetEPCWDvAFP,2017-11-17,0TMqE4JVG6r2iFELCHGgYE,0.55,0.908,-7.653,0.0774,0.0642,1.96e-05,0.744,0.683,118.998
61,55AQclTUurjDuLhl8Raj6S,I Will Always Love You - Live from The Bodyguard Tour,I Wish You Love: More From The Bodyguard,Whitney Houston,6XpaIBNiVzIetEPCWDvAFP,2017-11-17,55AQclTUurjDuLhl8Raj6S,0.298,0.286,-13.615,0.053,0.667,3.63e-05,0.93,0.128,132.739
62,1b9pKNP8Z40yhdxdaedb1x,I'm Every Woman - Live from The Bodyguard Tour,I Wish You Love: More From The Bodyguard,Whitney Houston,6XpaIBNiVzIetEPCWDvAFP,2017-11-17,1b9pKNP8Z40yhdxdaedb1x,0.581,0.88,-7.794,0.0953,0.302,0,0.565,0.505,119.04
63,5jSTW2AuRhDst5I7J86KUH,Home - Live from The Merv Griffin Show,Whitney Houston Live: Her Greatest Performances,Whitney Houston,6XpaIBNiVzIetEPCWDvAFP,2014-11-10,5jSTW2AuRhDst5I7J86KUH,0.515,0.347,-9.425,0.0736,0.963,0.142,0.684,0.418,127.188
64,0kn8HZcdvWXIbAu4ZbqWTa,You Give Good Love - Live from The Tonight Show Starring Johnny Carson,Whitney Houston Live: Her Greatest Performances,Whitney Houston,6XpaIBNiVzIetEPCWDvAFP,2014-11-10,0kn8HZcdvWXIbAu4ZbqWTa,0.625,0.463,-5.382,0.0519,0.934,7.56e-06,0.691,0.414,136.843
65,0B71GPn23vB1BapkFfYlEp,How Will I Know - Live from The Brit Awards,Whitney Houston Live: Her Greatest Performances,Whitney Houston,6XpaIBNiVzIetEPCWDvAFP,2014-11-10,0B71GPn23vB1BapkFfYlEp,0.718,0.89,-4.552,0.0693,0.282,0,0.727,0.852,118.5
66,1pCsrLzTZ0HrjUJB8df2kc,One Moment in Time - Live from The 31st Annual Grammy® Awards,Whitney Houston Live: Her Greatest Performances,Whitney Houston,6XpaIBNiVzIetEPCWDvAFP,2014-11-10,1pCsrLzTZ0HrjUJB8df2kc,0.203,0.651,-6.449,0.0601,0.41,1.44e-05,0.612,0.35,74.401
